batch,index,music,hashtag,author,likes,comments,shares,saves
4,18,original sound - Jack Doherty,"@topperguild, jackdoherty",jackdoherty,131400,306,8627,180
4,19,original sound - T@$H,"fyp, act, fypage",brianna_faison,33500,325,7297,270
4,20,sonido original - halo,"cr7, binance, work",anamarkovix,895800,4381,69800,7164
4,21,original sound - Logan Micke,loganmicke,loganmicke,43300,440,4090,85
4,22,snowfall - Øneheart & reidenshi,,itsyaboyryantang,105900,868,13700,424
4,23,Coda (Instrumental) - BLVKSHP,,itstopshelf,263900,2926,56700,14500
4,24,I Wouldnt Mind - ♱,"fyp, couple, foryoupage, viral, couplegoals, trending, @emilylou.xoxo",emilyylouu1,564100,1885,28700,8051
4,25,original sound - Gavin Magnus,fyp,gavinmagnus,544000,2057,24900,334
4,26,sonido original - Sosa jhons,,sosajhons,783300,20100,52800,26400
4,27,Sneaky Snitch - Kevin MacLeod,"highschool, student",goharsguide,139000,281,28700,288
5,0,original sound - KEEMOKAZI,onthisday,keemokazi,294600,1673,30800,999
5,1,Give Me a Kiss - Crash Adams,@andymallet1,crashadamsmusic,1100000,4717,67600,2807
5,2,sonido original - Pulga,"funny, relatable, latina, latino, mom",mosiah.h,560600,4178,97300,9188
5,3,Ick - Alt Ending - Lay Bankz,,notelongatedmusk,359600,25200,57100,2465
5,4,เสียงต้นฉบับ - อาหยง_องค์หญิง,@callsing.forgot,arshia_._bk,11900,416,1375,139
5,5,original sound - Farrah and Kaleb,"fyp, foryou, siblinggoals, brotherandsister, siblingduo",farrahandkaleb,325100,756,18500,432
5,6,original sound - Doulie Chamberlain,greenscreen,abdoulupnext,265500,48800,31800,953
5,7,original sound - mzbiancarenee,,itsjennadavis,80400,505,5807,137
5,8,original sound - Jack Doherty,jackdoherty,jackdoherty,15400,314,956,35
5,9,Soft and minimal instrumental music(1259336) - MaxRecStudio,"autism, autismmom, specialneedsmom, specialneeds, iepadvocate, iep, specialneedscaregiver",justmekelsea,701600,30800,31200,10700
5,10,Hahahaha again - Kelsey🪖💐,"like, follow, share, comment",shelbyacat,306400,1262,52900,4012
5,11,original sound - danizhe,"fyp, xybcza",danizhe,511000,4866,70500,12100
5,12,original sound - 🎀Zoelovespiper🎀,"@piperrockelle, piperrockelle, piper, fyp",zoelovespiper,17600,61,1289,2
5,13,original sound - Claireeee,,clairelizzyxo,74400,251,1596,105
5,14,AIN'T GONNA ANSWER - NLE Choppa & Lil Wayne,@kaitlynkmiller,saidee.nelson0,133400,759,11600,190
5,15,original sound - Horror Story X👀,"horror, scary, creepy, spooky, haunted",horror.story.x,174800,13900,32400,17300
5,16,Dandelions (slowed + reverb) - Ruth B. & sped up + slowed,"fyp%E3%82%B7, trending, viral, couple, couplegoals, love, boyfriend, themacfamily",themacfamily,90500,623,8467,301
5,17,original sound - pumpkinblushspam,fyp,cocoquinnb,83600,487,3992,275
5,18,original sound - mack,,itsjennadavis,137000,2156,8482,112
5,19,original sound - Anni C,"hoodchristmascarols, christmas, delulu, justagirl, coquette",anni._.c,1800000,15400,321300,26400
5,20,original sound - Katie Boff,"fyp, chiropractortiktok, bodycracks",ktbofff,581700,12600,63500,13600
5,21,original sound - doffysmelio,"@lashedchars, fy, fyp, fyp%E3%82%B7%E3%82%9Aviral, foryou, foryoupage, viral, fame, fanpage, fp, fan, cg, coloring, charlidamelio, char, charli, charbar",marschvarl,241,29,27,0
5,22,original sound - Damalos,gracino,gracino___,510500,6894,26200,3015
5,23,original sound - The YUH Family,"couple, couples, couplegoals, couplescomedy, girlfriend, boyfriend, funny",yuhfamjosh,356200,100800,35300,309
5,24,suara asli - Dezalyr.,,jadentraub,211000,1077,16800,550
5,25,original sound - annabelle gesson,@jkfools,annabellegesson,37700,402,4373,299
5,26,Aesthetic - Tollan Kim,foryou,comebaby789,135900,385,9097,1452
5,27,orijinal ses - caner,,asher.lara,285600,5089,21700,1769
5,28,original sound - Sanya,@ucoolmediylashes,itssanya.1,124200,580,10700,109
1,0,original sound - Paddington,"bringitonfighttothefinish, movie, dance, tiktok, fyp",paddianym56,302700,397,27100,436
1,1,original sound - Andie Elle,,xxandieelle,14200,106,1698,25
1,2,original sound - AGGAYUCITA<3,@k_ren1910,aggayucita,628800,3530,48700,2469
1,3,original sound - alexbreakshisback,"backcrack, gym, stretch, gymhumor, stallbars, fyp",lamainethetrain,551600,4903,56300,18300
1,4,"Down, Up! - BabyTron",,uluv.luna.tuna,44100,200,3174,115
1,5,original sound - mckinley richardson,,mckinleyrichardson,20400,131,1651,16
1,6,Chopin Nocturne No. 2 Piano Mono - moshimo sound design,"foodchallenge, rawmeat, fyp, viral, mrbeast, ishowspeed, adinross",paulylong,98300,1138,8404,2226
1,7,som original - MoriMura🍕,,morimura,2000000,10100,149200,12900
1,8,Thanks for using my sound - issawrap,,becca_dawn5,98700,476,4496,205
1,9,Ick - Alt Ending - Lay Bankz,"foryou, trend, ick",lala_sadii,1500000,29000,112600,12100
2,0,original sound - Haven Lough,,havenlough,80500,3455,6621,1105
2,1,Brutus (Instrumental) - The Buttress,"horror, scary, creepy, spooky, haunted",horror.story.x,87000,6864,27400,2248
2,2,Funny Song - Funny Song Studio & Sounds Reel,"trend, trending, fyp",team2moms,96600,689,5081,181
2,3,original sound - Kervo.dolo,"fyp, foryoupage",kervo.dolo,1700000,9078,142900,11100
2,4,original sound - lowkey.nuts34,,lowkey.nuts34,1100000,27900,225200,166000
2,5,original sound - mckinley richardson,,mckinleyrichardson,7946,47,601,7
2,6,dance the night away sped - 💗 S O U N D S 🐆,"@islayedallday, fyp, viral, xyzbca, nails",random_4025,27000,6549,5755,432
2,7,New Home - Frozen Silence,"@lovelymimi865, mom",jayjayhere0_0,9800000,51200,731600,91500
2,8,AIN'T GONNA ANSWER - NLE Choppa & Lil Wayne,@symonneharrisonofficial,nickbencivengo,81600,581,4258,77
2,9,origineel geluid - nalish.fanpage,"nalishforever, foryou, nidalwonder, salishmatter, foreverfriendship",nali.sh_fanpage,128600,237,10100,243
2,10,bent instrumental - ⚜️,"aesdr, relatable, viral, fyp, rizz, babysitter",yourkute,77300,366,16100,449
2,11,original sound - Quest Gulliford,"@anthonycasper1024, @rosssmith",questg.tv,86100,600,3145,718
2,12,original sound - 𝙁𝙊𝙍𝙀𝙑𝙀𝙍 ✰,"grwm, fyp, viral",grw.forever_,124000,497,10100,220
2,13,original sound - capri,@xxmacyn,c4pr1i,141400,2178,24800,1171
2,14,Bongos (feat. Megan Thee Stallion) - Cardi B,,theneelajolenee,157700,6173,19000,9280
2,15,original sound - IDK😫,"fyp%E3%82%B7, icespicemunch, icespice, edits, aftereffects",frennazone,338300,1665,57400,2592
2,16,original sound - Kriss&Esme,"grwmdate, grwmroutine, daughterdoesmymakeup, makeuptutorial, makeuproutine",krissleos,216500,627,15200,193
2,17,nhạc nền - Hannah and Regal,"material, reaction, regalnoise, dadjokes, fyp, trending, reactions",hannaahandregal,328800,2012,31100,6898
2,18,sonido original - Michelle Salvatore🫀✨,kaneandprymrr,kaneandprymrr,46200,485,6003,80
2,19,original sound - sweetnsour,,sweetnsour.official,459900,8213,48200,4222
2,20,original sound - ur.fav.girl.trce🤟,"fyp, foryou, trend, crush, trending, foryou, @all.in.faith",autumnnmonique,152800,4629,16500,3567
2,21,Makeba - Jain,,vlarino,247200,5766,27200,4956
2,22,orijinal ses - caner,,infamous_wu13,446100,4721,52900,949
2,23,original sound - Jillian !,"fyp, sick, cold, cough",harperzilmer4,524500,5369,40700,3938
2,24,original sound - kenziedonald,"foryou, fyp, nanny, dayinmylife, newyear",dietcoke24,874400,924,24400,1410
2,25,original sound - Logan Micke,loganmicke,loganmicke,31700,441,2106,51
2,26,original sound - Marco Hall,"@khy, @brookeashleyhall, khy, couplegoals, comedy",iammarcohall,441000,1142,29900,3048
2,27,original sound - Akiii173 - Aki🗣️,fyp,annafrey07,998100,12400,55500,8415
2,28,original sound - Jay,,diamantblazi,27900,158,1938,164
3,0,bless. - suritasarapist69,"fyp, crush, viral",joshterrellclips,143300,557,15000,163
3,1,Enjoy - Jux & Diamond Platnumz,"@casboyboss.officiel, agrandirtoncompte, larisplash, persersurtiktok, astucetiktok, conseiltiktok, splash%F0%9F%98%89",lari_splash,21400,7970,6008,13300
3,2,original sound - Aliyah Marie,,aliyahm411,244400,1129,17400,1134
3,3,original sound - Paddington,"bringitonfighttothefinish, movie, dance, tiktok, fyp",paddianym56,320400,548,31300,530
3,4,Bécane - A COLORS SHOW - Yamê,tiktoktrend,mr.thank_you,2491,185,151,21
3,5,original sound - NaomiHearts,"relatable, plussize, foru, plussizeedition, funny, comedy",naomiheartsxo,506600,7482,37800,17500
3,6,original sound - Mona,"fyp, foryou, money",mona.ava7,245500,1705,12700,1478
3,7,PISTOL PACCIN - NLE Choppa & BigXthaPlug,,michelleotp,3300000,7699,156600,8105
3,8,original sound - mya ★,"piperrockelle, piperrockellebby, piperrockelleedit, txunamy, familadiamond, txunamyedit, edit, capcut, fyp, foryou, foryoupage",pipersluvas,118100,417,12900,261
3,9,tumblr girls - s4g1ttariusx,fyp,notnadiajocelyn,166600,462,11900,952
