batch,index,music,hashtag,author,likes,comments,shares,saves
3,25,Funny - Gold-Tiger,"siblings, challenge, funny, fyp, challengeaccepted",erisa_laska,55600,331,1573,166
3,28,original sound - Ralph Childs,"kidsbelike, funnyy, fam, holiday",artisey,5600000,39300,462300,190100
4,5,original sound - Prince EA,,realprinceea,530400,8025,119700,27300
4,6,original sound - suburb baby,@jadenhannah_,suburb_baby111,995600,2820,117400,4717
4,7,Kerosene - Crystal Castles,"randomfacts, dailyrdfact",dailyrdfact,19600,6204,6408,12300
4,8,original sound - Nick Wilkins,,n1ckwilkins,428100,4856,35800,5528
4,9,original sound - alexa_de,"miniphone, miniiphone, bezosmax, minismartphone, cute, tiktokshop, pinkphone",alexa_de,4400000,24200,618000,158300
4,10,original sound - jojo🍄🌞🌊🤘,village,jo.bitch1,1900000,6365,123200,23700
4,11,original sound - Laker Girls,"lakers, weredancers, relatable, dancers, lakergirls",lakergirls,112900,199,5339,112
4,13,original sound - Kamilla Diaz,"doctor, freewoman, dating, divorced, 50",kamilla.diaz8,210600,23000,6847,2662
4,15,original sound - 🇹🇳THE LANGUAGE LORD🇹🇳,"turkey, turkish, istanbul",merewana,175400,897,10400,492
4,20,original sound - The Relationship Hub,"viral, couple, fyp",isaacandandrea9,184500,707,10400,1079
4,21,joshuasamuels follow me - 00:00,"fyp, locs",chynnasoxtra,173500,266,6207,250
4,24,original sound - Gee Gee,"momson, singlemomlife, onlychildlife",queenn_gee,2600000,24500,120000,25600
4,25,original sound - Haley 🌙 | aemkniqht,"fu, erich, money",mezrichest,975800,17300,86600,16700
4,26,son original - 💐𝐵🪐,,harperzilmer4,505800,2988,31200,1697
5,0,original sound - Roman Corona,"funny, funnyvideos, scaryvideos",romancorona6,1100000,17000,101400,89100
5,2,original sound - lala_sadii_US,"brother, fyp, foryou, siblings, trend",lala_555556666,25600,412,3939,80
5,4,original sound - Owen Lynch,,hahowen,252500,515,16600,181
5,5,My baby...Not my sound - 🌸 Melanin🌸,,shxkiraa,955900,5396,71700,4037
5,6,original sound - Maximbady,,maximbadyofficial,1400000,12600,111100,62800
5,7,som original - MoriMura🍕,,morimura,2100000,12900,173700,16200
5,8,original sound - Ice Queen,"genderreveal, boyorgirl, guess, surprise, mom, dad, icebath, icequeen, coldplunge, fun, family, hubby, parents",itskyajeub,1500000,13600,48900,26200
5,11,SHAKE IT THE WORLD - 🧡𝐃𝐀𝐑𝐖𝐈𝐍🧡,@dragon._.puppets123void,felixthepuppeter,29,3,0,0
5,12,original sound - mzbiancarenee,,itsjennadavis,80300,504,5799,137
5,13,original sound - C i n a 🇭🇹,"@kamrynbhall, motherdaughter, motheranddaughter, motherdaughterlove, motherdaughtergoals",lifewithcina,852600,3635,55800,18400
5,14,Hahahaha again - Kelsey🪖💐,trauma,vivus_mortuus,100600,395,3108,137
5,18,original sound - MR BLUE,"stitch, stitchlover, halloween, christmas, tiktok, foryou, explore, collectionstitch, stitchstuff, liloandstitch, stitchandangel, ohana, disney, edits, artdigital, edit",mr.blue.heart,3629,374,520,19
5,20,original sound - findgodye,"@barstoolu, @sara_santss",barstoolsports,300700,246,8263,135
5,21,Bad Feeling (Oompa Loompa) - Jagwar Twin,"pov, fyp, trending",autumnnmonique,375400,2337,36100,1215
5,23,original sound - esli !,"fyp, foryou, grwm, relatable, thingsihate, real, viral, viral%3F",.eslis,152600,1201,20700,456
5,26,original sound - cz,"fyp, viral, satire, sports, tiktoks, influencer, girls",sloanestylee,812300,3586,39100,996
1,2,nhạc nền - Kiara,"salishmatter, hudsonmatter, saysaymatte, saymatte, fatherdaughter, date, daughter, mydaughter, viral, trending, fyp, saysaymattter",kiara_fanus,282700,1093,22900,609
1,7,original sound - Brittany Muddamalle,"multiracialfamily, tiktokfamily, whitemom",almostindianwife,1100000,3833,53600,8105
1,8,Simple Pleasantries - Arthur Benson,"breathalyzer, breathalyzertest",stephenmakesvideos,787300,1162,36800,716
1,9,Where you are (Vocals only) - Halal Beats,"facts, factsyoudidntknow, learnontiktok, randomfacts, saveyourlife, curiosity",factsfromnez,7984,844,1369,6300
1,10,original sound - ✨Kay and Tay✨,"kayandtayofficial, couples, relationships, pregnant",kayandtayofficial,4900000,62700,268700,19300
2,0,som original - Top Roblox Games for you,"roblox, robloxedit, robloxgames, robloxgamestoplay",top.robloxgames,211300,2056,98100,12200
2,1,Triangle - Chris Alan Lee,soldejanieroxroblox,lanaslifeee,61900,1367,5486,385
2,2,original sound - Sol de Janeiro,"soldejaneiro, sdj, soldejaneirouniverse, soldejaneiroxroblox, roblox, metaverse, robloxedit",soldejaneiro,54100,4803,5480,1346
2,3,Incel garou - Cruuton,"roblox, robloxanimation, moonanimator, r63, sbg, strongestbattlegrounds, garou, onepunchman",cruuton,58600,1622,19400,953
2,4,POSE FOR THE FANS - valentino☆,,lanaslifeee,17000,480,2449,91
